parent_hashtag,hashtag_count,media_id_hashed,image_url,image,image_found,Instagram_auto_desc,post_date,description,desc_hashtags,is_commercial?,is_paid_partnership?,likes,comments,media_type
climatechange,6497457,185be5fb627f0672,https://drive.google.com/uc?export=view&id=1xeUlyj9GolxHQ4L2QtpFOiWdLtea9zJl,,TRUE,text that says 'SpokenTruthRevolution with... @spokentruthrev The US government needs to be held accountable about the Wuhan Lab and the many bio labs (funded by DoD... the CDC/NIH) that are throughout Ukraine. Accountability is required.'.,2022-03-12,🔷 🔷 🔷. 🔷. 🔷 🔷 🔷. 🔷. 🔷 🔷.🔷,"{'conservativethinker', 'climatechange', 'lifelibertyandthepursuitofhappiness', 'christianpodcast', 'tpusa', 'communismsucks', 'turningpointusa', 'biden', 'iwillnotcomply', 'wevegotacountrytosave', 'wethepeople', 'conservative', 'makeamericagreatagain', 'benshapiro', 'thedailywire', 'democrats', 'christian', 'usa', 'christianconservative', 'lockdown', 'trump', 'america', 'maga', 'truckersforfreedom', 'criticalthinker', 'systematicracism', 'bible', 'freedom'}",not_commercial,No,489,20,Image
climatechange,6497457,455855f7d7d137b5,https://drive.google.com/uc?export=view&id=1OCuAEdSw05zKb2IsG8sGYWSO_Po_0wLh,,TRUE,"8 people, people standing and outdoors.",2022-03-13,.,{'JustTransition'},not_commercial,No,257,8,Image
climatechange,6497457,ebd5448e0b632f63,https://drive.google.com/uc?export=view&id=1zCaJOggeCvCFQqvkBcmVIsWonBnROZqw,,TRUE,text.,2022-03-13,🏆 To be featured:,{'oceanrebuild'},not_commercial,No,389,5,Image
climateaction,1195694,fdd00020f0ec1b38,,,FALSE,text that says 'The Frontline SaturdaySphere Atmos Atmos Gender & Climate Justice'.,2022-03-05,.,"{'gender', 'climate', 'climatechange', 'intersectionalenvironmentalism', 'genderissues', 'justice', 'climatejustice', 'womensrights', 'climatecrisis', 'feminism', 'equality', 'transrights', 'intersectionalfeminism', 'intersectionality', 'climateaction'}",not_commercial,No,4118,42,Carousel
climateaction,1195694,fdd00020f0ec1b38,,,FALSE,"text that says 'The Frontline SaturdaySphere An intro to intersectionality Atmos Racial Identity Nationality Gender Physical Ability Sexual Orientation Civil rights advocate and law professor Kimberl√© Crenshaw coined the term in 1989 to highlight the areas where systems of oppression overlap and combine to create unique social issues that are often overlooked. These include gender, race, physical ability, nationality, and sexual orientation. Sources: Womankind Worldwide, YW Boston'.",2022-03-05,Follow  @xxx ,"{'gender', 'climate', 'climatechange', 'intersectionalenvironmentalism', 'genderissues', 'justice', 'climatejustice', 'womensrights', 'climatecrisis', 'feminism', 'equality', 'transrights', 'intersectionalfeminism', 'intersectionality', 'climateaction'}",not_commercial,No,4118,42,Carousel
climateaction,1195694,fdd00020f0ec1b38,,,FALSE,"text that says 'The Frontline SaturdaySphere Atmos Gender and climate are connected. Gender Climate Justice Women are disproportionately impacted- of people climate change displaces are women. In many communities, women are responsible for gathering food and water, but global temperature rise is making this more difficult. It's also harming their mental health and safety. Reports of domestic violence often increase following extreme weather. Sources: BBC, Project Drawdown, IUCN, Gizmodo'.",2022-03-05,Tag  #australia__downunder ,"{'gender', 'climate', 'climatechange', 'intersectionalenvironmentalism', 'genderissues', 'justice', 'climatejustice', 'womensrights', 'climatecrisis', 'feminism', 'equality', 'transrights', 'intersectionalfeminism', 'intersectionality', 'climateaction'}",not_commercial,No,4118,42,Carousel
climateaction,1195694,fdd00020f0ec1b38,,,FALSE,"text that says 'The Frontline SaturdaySphere Atmos ""Women"" means all women. Transgender women are women. They not only face some of the same obstacles as cis women, they are also oppressed and excluded by discrimination and social stigma toward the trans community. For example, the unemployment ment rate for transgender individuals in the U.S. is twice that of the population as a whole, leaving them more vulnerable to houselessness and poverty. Sources: Down To Earth, National GBTQ √õ Task Force'.",2022-03-05,.,"{'gender', 'climate', 'climatechange', 'intersectionalenvironmentalism', 'genderissues', 'justice', 'climatejustice', 'womensrights', 'climatecrisis', 'feminism', 'equality', 'transrights', 'intersectionalfeminism', 'intersectionality', 'climateaction'}",not_commercial,No,4118,42,Carousel
climateaction,1195694,fdd00020f0ec1b38,,,FALSE,"text that says 'Frontline SaturdaySphere Atmos Trans women deserve recognition. Emergency response and disaster relief services don't always include trans women, making them especially vulnerable when disasters hit They may face discrimination when accessing shelters or filling out applications for government aid, especially if they have to disclose the names they were given at birth. √õource: Policy Briet from √õ UC rvine and University of Georgia'.",2022-03-05,🔷. 🔷. 🔷. 🔷 🔷 🔷. 🔷. 🔷 🔷 🔷.🔷,"{'gender', 'climate', 'climatechange', 'intersectionalenvironmentalism', 'genderissues', 'justice', 'climatejustice', 'womensrights', 'climatecrisis', 'feminism', 'equality', 'transrights', 'intersectionalfeminism', 'intersectionality', 'climateaction'}",not_commercial,No,4118,42,Carousel
climateaction,1195694,fdd00020f0ec1b38,,,FALSE,"text that says 'The Frontline SaturdaySphere Atmos Women's voices are vital for climate justice. When education levels for women and girls rise, their political, social, and economic standings improve. So does their reproductive healthcare. Women often hold community knowledge and understand how to adapt to the changing climate and how to devise practical solutions. The latest IPCC report released last month contained more women authors than previous reports, a marker that things are slowly changing. Sources: Project Drawdown, IUCN The 9th'.",2022-03-05,#australia ,"{'gender', 'climate', 'climatechange', 'intersectionalenvironmentalism', 'genderissues', 'justice', 'climatejustice', 'womensrights', 'climatecrisis', 'feminism', 'equality', 'transrights', 'intersectionalfeminism', 'intersectionality', 'climateaction'}",not_commercial,No,4118,42,Carousel
climateaction,1195694,fdd00020f0ec1b38,,,FALSE,text that says 'The Frontline SaturdaySphere Atmos Viewing environmentalism through an intersectional lens allows us to see how existing social issues exacerbate environmental issues. It's only with this outlook that climate solutions can be effective and beneficial for everyone.'.,2022-03-05,#tv_australia ,"{'gender', 'climate', 'climatechange', 'intersectionalenvironmentalism', 'genderissues', 'justice', 'climatejustice', 'womensrights', 'climatecrisis', 'feminism', 'equality', 'transrights', 'intersectionalfeminism', 'intersectionality', 'climateaction'}",not_commercial,No,4118,42,Carousel
climateaction,1195694,11020667f7d8fa50,https://drive.google.com/uc?export=view&id=12RJpcINr45GhLT0xvVoURG64UHMd0P8S,,TRUE,text that says 'i FORBES Paint is the largest source of microplastics in the ocean WASTE ED'.,2022-03-10,#ig_australia ,set(),not_commercial,No,638,9,Image
climateaction,1195694,c5db1ea7699278c4,https://drive.google.com/uc?export=view&id=1fzjfvR8zUlgDHEz_ynP8xPUUmFDtxLw0,,TRUE,"food and text that says 'Reduce your foodprint. Each time you choose to eat plant foods instead of animals, you save water, soil and animal habitat, you protect the world from climate change, and you save an animal's life. What is your food's footprint? VeganStreet.com com veganstreet patreon.'.",2022-03-11,#downunder ,"{'climatechange', 'veganism', 'sustainability', 'govegan', 'endanimalagriculture', 'veganactivism', 'environmentalism', 'AACC', 'sustainablefuture', 'saveourplanet', 'lessmeatmoreveg', 'animalagriculture', 'climateaction', 'animalagricultureclimatechange', 'factoryfarming', 'saveearth', 'fridaysforfuture', 'veganforanimals', 'veganfortheplanet', 'savetheplanet', 'savetheamazon', 'sustainable', 'environment', 'foodforthought', 'plantbased', 'climatecrisis', 'veganactivist'}",not_commercial,No,479,3,Image
climateaction,1195694,7c0dbd4c4d79b3ed,https://drive.google.com/uc?export=view&id=1opAX4AFjrOWFIvvY5ShnbZyVAXkNbWoU,,TRUE,"text that says 'This Designer Turns Citrus Fruit Waste Into Silk-like Fabric, Diverts 700,000 Tons of Citrus Waste'.",2022-03-10,#flood ,"{'lesswaste', 'ecofriendlyliving', 'ecofriendlyproducts', 'breakfreefromplastic', 'nofossilfuels', 'greentechnology', 'solarpowered', 'environmentallyfriendly', 'saveourplanet', 'climateaction', 'greeninnovation', 'sustainableinnovation', 'reducewaste', 'windenergy', 'fridaysforfuture', 'ecofriendlylifestyle', 'cleanenergy', 'sustainabilitymatters', 'climatechangeisreal', 'noplanetb'}",not_commercial,No,1414,14,Image
climateaction,1195694,5cee84dc9b3dafd2,https://drive.google.com/uc?export=view&id=1k4EwwlyLc6AXP8BT559s0ekZtGnFblGA,,TRUE,ocean and nature.,2022-03-11,#flooding ,"{'climatechangeconference', 'climatechange', 'climate', 'recycle', 'eco', 'climatestrike', 'earth', 'sustainability', 'climatechangecrisis', 'ocean', 'climatechangeartist', 'pollution', 'environmentallyfriendly', 'zerowaste', 'ecofriendly', 'climateaction', 'sustainableliving', 'plasticfree', 'climatechangefacts', 'savetheplanet', 'plasticpollution', 'climatechangeawareness', 'climatechangeisreal', 'gogreen', 'sustainable', 'environment', 'noplastic', 'globalwarming', 'climatecrisis', 'reuse'}",not_commercial,No,425,20,Image
climateaction,1195694,c6b62c00bffc7b4f,https://drive.google.com/uc?export=view&id=1mAi-sgbZ4KgKdw_TrUVr-qYA0II1VqAI,,TRUE,text that says 'Reasons to hope Sydney is the first city in the world to filter and monitor microplastics in the water 24/7'.,2022-03-09,#floodfriday ,"{'climatechange', 'eco', 'ecofriendlyproducts', 'savetheocean', 'seabinproject', 'environmentallyfriendly', 'zerowaste', 'ecoconcious', 'seabin', 'ecofriendly', 'sustainablelifestyle', 'climateaction', 'sydney', 'sustainableliving', 'plasticfree', 'reducewaste', 'bethechange', 'plasticpollution', 'recycled', 'consciousconsumer', 'gogreen', 'sustainable', 'environment', 'recycle', 'reuse'}",not_commercial,No,431,9,Image
climateaction,1195694,2605b1ace06a3526,https://drive.google.com/uc?export=view&id=1rK611MjGNrWKvVfeDWUQkbsVM-UprwIG,,TRUE,"one or more people, people standing, outdoors and text that says 'These Sisters Turn Discarded Plastic Into Bricks That Are Fire Retardant And Stronger Than Ordinary Bricks CEET'.",2022-03-04,#rain ,"{'lesswaste', 'ecofriendlyliving', 'ecofriendlyproducts', 'stopanimalcruelty', 'nomoreplastic', 'greentechnology', 'environmentallyfriendly', 'plasticfreelife', 'climateaction', 'plastickills', 'greeninnovation', 'plasticfreeoceans', 'reducewaste', 'veganforanimals', 'sustainableinnovation', 'fridaysforfuture', 'ecofriendlylifestyle', 'savethebees', 'climatechangeisreal', 'plasticfreeliving', 'zerowastelife', 'staygreen', 'noplanetb'}",not_commercial,No,1082,11,Image
climateaction,1195694,47e7fc28be11871f,https://drive.google.com/uc?export=view&id=16xGf3S25T_2jKOLzavmYfLIRRsOFi3M4,,TRUE,map and text that says 'TAP ONCE FOR CLIMATE HOPE'.,2022-03-11,#rainfall ,"{'climatehope', 'climatechange', 'sustainability', 'plasticpollution', 'vegan', 'zerowasteliving', 'veganlife', 'environment', 'greenliving', 'climatecrisis', 'climateaction'}",not_commercial,No,731,13,Image
climateaction,1195694,c2bb9e357de5e1fe,,,FALSE,"one or more people, braids and text that says '""Women are not just victims, vulnerable to the_worst the worst effects of climate breakdown. Overwhelmingly, they are also the key to solving and leading positive climate futures."" Joycelyn Longdon, Climate in Colour'.",2022-03-08,#storm ,"{'IWD2022', 'InternationalWomensDay,'}",not_commercial,No,294,23,Carousel
climateaction,1195694,c2bb9e357de5e1fe,,,FALSE,"one or more people, jewelry, outdoors and text that says '""Women play a critical role in food production. Direct impacts of climate change affecting food production affect women. While we have that, we also have lot of women championing for a better environment and are playing a big role in climate action."" Anita Soina, Spice Warriors Kenya'.",2022-03-08,#crisis ,"{'IWD2022', 'InternationalWomensDay,'}",not_commercial,No,294,23,Carousel
climateaction,1195694,c2bb9e357de5e1fe,,,FALSE,"one or more people and text that says '""We have to talk about the unique struggles of BIPOC women in the climate space. As an Asian American woman myself, my personal struggle has been around being very underestimated and undermined in this work."" ""It is due to other BIPOC women's support, collective wisdom, and nurturing energy that I've been able to keep going and create avenues for others to do this work as well."" Kristy Drutman, @browngirl_green'.",2022-03-08,#climate ,"{'IWD2022', 'InternationalWomensDay,'}",not_commercial,No,294,23,Carousel
climateaction,1195694,c2bb9e357de5e1fe,,,FALSE,"one or more people, flower and text that says '""Our planet is being treated the way women have been treated all throughout history exploited, extracted from, and disrespected in so many ways. You cannot separate the fight for equality for women and the fight to save our planet, they are the same fight."" Jamie Margolin, Zero Hour'.",2022-03-08,#climatechange ,"{'IWD2022', 'InternationalWomensDay,'}",not_commercial,No,294,23,Carousel
climateaction,1195694,c2bb9e357de5e1fe,,,FALSE,"‚Äéone or more people, braids, eyeglasses, outdoors and ‚Äétext that says '‚Äé◊üI€± ""Women are leading the way in developing equitable climate solutions. As a result, women's empowerment is deeply connected the protection of our planet and one cannot be achieved without the other."" Arielle King, Intersectional Environmentalist‚Äé'‚Äé‚Äé.",2022-03-08,#visualart ,"{'IWD2022', 'InternationalWomensDay,'}",not_commercial,No,294,23,Carousel
climateaction,1195694,c2bb9e357de5e1fe,,,FALSE,"one or more people and text that says '""Equality won't be handed down to us. It won't just appear. If we want it, we need to fight for it"" Luisa Neubauer, Fridays for Future'.",2022-03-08,#colours ,"{'IWD2022', 'InternationalWomensDay,'}",not_commercial,No,294,23,Carousel
climateaction,1195694,c2bb9e357de5e1fe,,,FALSE,"one or more people, people standing, outdoors and text that says '""Ïù¥Ïù¥Ïä§Ïä§ 4Ÿ†0/0Ÿ°4 ÏãúÏãúÏãú ÏãúÏãúÏãúÏä§Ïä§Ïä§! ""In addition to their gendered burdens, women of the Global South have been forced to carry the additional burden and effort of saving humanity's future, when it should be shared by us all. It's high time the rest of us step up.' Padmini Gopal, @climatekarma'.",2022-03-08,#landscape ,"{'IWD2022', 'InternationalWomensDay,'}",not_commercial,No,294,23,Carousel
climateaction,1195694,c2bb9e357de5e1fe,,,FALSE,"one or more people, braids, outdoors and text that says '""We are drowning in promises. Commitments will not reduce CO2. Promises will not stop the suffering of people. Pledges will not stop the planet from warming. Only immediate and drastic action will pull us back from the abyss."" Vanessa Nakate, Rise Up Africa'.",2022-03-08,#landscapephotography ,"{'IWD2022', 'InternationalWomensDay,'}",not_commercial,No,294,23,Carousel
climateaction,1195694,c2bb9e357de5e1fe,,,FALSE,"one or more people, people standing and text that says 'and to be ""Women and girls are, continue disproportionately affected by the impacts of climate change. Women, especially women of colour are more vulnerable to the consequences of climate change but are so often excluded from the decision-making process; gender justice is not possible without women' meaningful participation, decision-making power and involvement."" Veronica Mulenga, VroaM,Yo Youth Climate Save Zambia'.",2022-03-08,#reflection ,"{'IWD2022', 'InternationalWomensDay,'}",not_commercial,No,294,23,Carousel
